
03/04/2019,20:10,29.0,24.0
03/04/2019,20:20,29.0,24.0
03/04/2019,20:30,29.0,24.0
03/04/2019,20:40,30.0,24.0
03/04/2019,20:50,29.0,25.0
03/04/2019,21:00,29.0,24.0
03/04/2019,21:10,29.0,24.0
03/04/2019,21:20,29.0,24.0
03/04/2019,21:30,29.0,25.0
03/04/2019,21:40,29.0,25.0
03/04/2019,21:50,29.0,25.0
03/04/2019,22:00,29.0,28.0
03/04/2019,22:10,29.0,28.0
03/04/2019,22:20,29.0,28.0
03/04/2019,22:30,29.0,29.0
03/04/2019,22:40,29.0,29.0
03/04/2019,22:50,29.0,30.0
03/04/2019,23:00,29.0,31.0
03/04/2019,23:10,29.0,31.0
03/04/2019,23:20,29.0,30.0
03/04/2019,23:30,29.0,30.0
03/04/2019,23:40,29.0,30.0
03/04/2019,23:50,29.0,30.0
04/04/2019,00:00,29.0,30.0
04/04/2019,00:10,29.0,30.0
04/04/2019,00:20,29.0,30.0
04/04/2019,00:30,29.0,29.0
04/04/2019,00:40,29.0,29.0
04/04/2019,00:50,29.0,27.0
04/04/2019,01:00,29.0,27.0
04/04/2019,01:10,29.0,26.0
04/04/2019,01:20,29.0,26.0
04/04/2019,01:30,30.0,26.0
04/04/2019,01:40,25.0,30.0
04/04/2019,01:50,24.0,34.0
04/04/2019,02:00,24.0,35.0
04/04/2019,02:10,23.0,37.0
04/04/2019,02:20,22.0,41.0
04/04/2019,02:30,22.0,41.0
04/04/2019,02:40,21.0,41.0
04/04/2019,02:50,21.0,42.0
04/04/2019,03:00,21.0,43.0
04/04/2019,03:10,20.0,42.0
04/04/2019,03:20,20.0,43.0
04/04/2019,03:30,20.0,43.0
04/04/2019,03:40,20.0,44.0
04/04/2019,03:50,20.0,44.0
04/04/2019,04:00,20.0,44.0
04/04/2019,04:10,20.0,44.0
04/04/2019,04:20,20.0,44.0
04/04/2019,04:30,20.0,44.0
04/04/2019,04:40,19.0,44.0
04/04/2019,04:50,19.0,44.0
04/04/2019,05:00,19.0,44.0
04/04/2019,05:10,19.0,44.0
04/04/2019,05:20,19.0,44.0
04/04/2019,05:30,19.0,44.0
04/04/2019,05:40,19.0,44.0
04/04/2019,05:50,19.0,44.0
04/04/2019,06:00,19.0,44.0
04/04/2019,06:10,19.0,44.0
04/04/2019,06:20,19.0,45.0
04/04/2019,06:30,19.0,44.0
04/04/2019,06:40,19.0,44.0
04/04/2019,06:50,19.0,44.0
04/04/2019,07:00,19.0,45.0
04/04/2019,07:10,19.0,45.0
04/04/2019,07:20,18.0,45.0
04/04/2019,07:30,18.0,45.0
04/04/2019,07:40,18.0,44.0
04/04/2019,07:50,18.0,44.0
04/04/2019,08:00,18.0,44.0
